I1,I2,I3,I4,I5,I6,I7,O1,O2
0.4938271604938271,0.0909090909090909,0.2307692307692307,0.93,-0.6666666666666667,1.0,0.4734,0.4446914128858346,0.3296284700480067
0.411522633744856,0.3636363636363636,0.2307692307692307,0.1333333333333333,0.0,0.0,0.4498,0.5466184414711084,0.3812878313504488
0.3292181069958848,0.2727272727272727,0.8461538461538461,0.1333333333333333,0.6666666666666667,0.0,0.365,0.4420450720373376,0.3969421832602797
0.3292181069958848,0.1818181818181818,0.2307692307692307,0.1333333333333333,-0.6666666666666667,0.0,0.3322,0.3808049130762748,0.2508348987685243
0.6790123456790124,0.4545454545454545,0.2307692307692307,0.5333333333333333,0.0,0.0,0.3852,0.5460868103901751,0.341108328115216
0.3292181069958848,0.0,0.1538461538461538,0.93,-0.6666666666666667,0.0,0.5309999999999999,0.3959766044028465,0.3692861615529117
0.3292181069958848,0.0909090909090909,0.2307692307692307,0.1333333333333333,-0.6666666666666667,0.0,0.763,0.5283856749061078,0.5795762888749739
0.3292181069958848,0.3636363636363636,0.6923076923076924,0.5333333333333333,0.0,0.0,0.1266,0.2682962515711044,0.1678668336464203
0.1646090534979424,0.0909090909090909,0.5384615384615384,0.3333333333333333,0.6666666666666667,0.0,0.4084,0.4686092111314731,0.3875495721143812
0.5761316872427984,0.1818181818181818,0.8461538461538461,0.3333333333333333,0.6666666666666667,0.0,0.0563999999999999,0.1699973711516704,0.1673450219160926
0.2469135802469135,0.1818181818181818,0.2307692307692307,0.1333333333333333,0.0,1.0,0.5993999999999999,0.6097712284504084,0.4872156126069714
0.411522633744856,0.0,0.1538461538461538,0.1333333333333333,-0.6666666666666667,0.0,0.4086,0.3562715420959784,0.2795345439365477
0.4938271604938271,0.1818181818181818,0.4615384615384615,0.1333333333333333,0.0,0.0,0.545,0.5030924756945925,0.4642558964725527
0.4938271604938271,0.1818181818181818,0.6153846153846154,0.3333333333333333,0.0,0.0,0.4942,0.4697153766085797,0.4209455228553538
0.5761316872427984,0.5454545454545454,0.3076923076923076,0.1333333333333333,0.0,0.0,0.4389999999999999,0.5794029740611962,0.4261636401586308
0.5761316872427984,0.0,0.3076923076923076,0.5333333333333333,-0.6666666666666667,1.0,0.5728,0.4213699118705023,0.4491233562930495
0.4938271604938271,0.4545454545454545,0.923076923076923,0.93,0.0,0.0,0.1924,0.2553387564357918,0.2216134418701732
0.4938271604938271,0.0,0.6923076923076924,0.5333333333333333,0.6666666666666667,0.0,0.0964,0.1733631237253471,0.1746503861406804
0.4938271604938271,0.5454545454545454,0.3076923076923076,0.5333333333333333,0.6666666666666667,1.0,0.2556,0.484032727679509,0.2304842412857441
0.4938271604938271,0.1818181818181818,0.1538461538461538,0.3333333333333333,-0.6666666666666667,1.0,0.4904,0.5329906562503083,0.3499791275307869
0.4938271604938271,0.0,0.1538461538461538,0.3333333333333333,-0.6666666666666667,1.0,0.4293999999999999,0.3978724439862227,0.261792945105406
1.0,0.6363636363636364,0.5384615384615384,0.3333333333333333,-0.6666666666666667,0.0,0.4138,0.4506002891499318,0.3651116677102901
0.411522633744856,0.3636363636363636,0.7692307692307692,0.3333333333333333,-0.6666666666666667,0.0,0.0618,0.184488201761766,0.1099457315800459
0.5761316872427984,0.0909090909090909,0.6153846153846154,0.3333333333333333,-0.6666666666666667,0.0,0.1532,0.1833378890442388,0.1516906700062617
0.4938271604938271,0.0,0.6923076923076924,0.93,0.0,0.0,0.3852,0.2851753797440708,0.4444270507201002
0.5761316872427984,0.1818181818181818,0.923076923076923,0.93,-0.6666666666666667,0.0,0.1212,0.1560518508951428,0.1866520559382175
0.5761316872427984,0.6363636363636364,0.4615384615384615,0.3333333333333333,0.0,0.0,0.1926,0.3471647965656539,0.189261114589856
1.0,0.6363636363636364,0.3076923076923076,0.5333333333333333,0.0,1.0,0.4503999999999999,0.6467858026683591,0.3750260905865164
0.411522633744856,0.1818181818181818,0.2307692307692307,0.5333333333333333,0.0,1.0,0.3279999999999999,0.4732104617412923,0.2941452723857232
